Station Name,Station Number,,pH,,alkalinity,,dissolved oxygen,,water temperature,,chloride,,flouride,,sulphate,,cyanide,,arsenic,,cadmium,,chromium,,copper,,iron,,lead,,manganese,,molybdenum,,nickel,,selenium,,silver,,thallium,,uranium,,zinc,,phosphorus ,,nitrogen,,nitrate,,nitrite
,,,,,,,O,,,,Cl,,Fl ,,SO4,,,,As,,Cd,,Cr,,Cu,,Fe,,Pb,,Mn ,,Mo ,,Ni ,,Se ,,Ag,,Tl,,Ur ,,Zn,,P ,,N ,,NO-3,,NO-2
,,,,,mg/L,,mg/L,,C,,mg/L,,mg/L,,mg/L,,ug/L,,ug/L,,ug/L,,ug/L,,ug/L,,ug/L,,ug/L,,ug/L,,ug/L,,ug/L,,ug/L,,ug/L,,ug/L,,ug/L,,ug/L,,mg/L,,mg/L,,mg/L,,
Fraser River at Redpass,BC08KA0007,6.5-9,"CCME, 2007",, ,,,19C,"GoC, 2008",,,,,,,,,,,,,,,formula,"GoC, 2008",,,formula,"GoC, 2008",,,,,,,,,,,,,,,formula,"GoC, 2008",0.25mg/L,"GoC, 2008",0.7mg/L,"GoC, 2008",,,, 
Nechako River at Prince George,BC08KE0010,6.5-9,"CCME, 2007",,,7.75,"Swain and Girard, 1987",20C,"Swain and Girard, 1987",,,,,,,,,,,formula,"CCME, 2014",7.5ug/L,SSG,formula,"GoC, 2008",,,,,,,,,,,1ug/L,"BCMOE, 2014",,,,,,,formula,"GoC, 2008",0.25mg/L,"GoC, 2008",0.7mg/L,"GoC, 2008",,,,
Fraser River at Marguerite,BC08MC0001,6.5-9,"CCME, 2007",,,8mg/L,"BCMOE, 1997",19C,"GoC, 2008",,,,,,,,,5ug/L,"CCME, 2001",,,,,formula,"GoC, 2008",,,formula,"GoC, 2008",,,,,,,,,,,,,,,formula,"GoC, 2008",0.25mg/L,"GoC, 2008",0.7mg/L,"GoC, 2008",,,,
Salmon River at Salmon Arm,BC08LE0004,6.5-8.5,"Gwanikar et al., 1998",,,9mg/L,"Gwanikar et al., 1998","12.8C, 15.6C","Gwanikar et al., 1998",,,,,,,,,,,formula,"CCME, 2014",1ug/L,"CCME, 2007 (VI)",formula,"GoC, 2008",,,,,,,,,,,,,,,,,,,formula,"GoC, 2008",0.01mg/L,"OMOE, 1994",1.1mg/L,"GoC, 2008",,,,
Thompson River at Spences Bridge,BC08LF0001,6.5-9,"CCME, 2007",,,,,19C,"GoC, 2008",120mg/L,"CCME, 2011",,,,,,,5ug/L,"CCME, 2001",formula,"CCME, 2014",1.4275,SSG,formula,"GoC, 2008",,,formula,"GoC, 2008",,,,,,,,,,,,,,,formula,"GoC, 2008",0.25mg/L,"GoC, 2008",0.7mg/L,"GoC, 2008",,,,
Fraser River at Hope,BC08MF0001,6.5-9,"CCME, 2007",,,8mg/L,"BCMOE, 1997",19C,"GoC, 2008",,,,,,,,,5ug/L,"CCME, 2001",,,,,formula,"GoC, 2008",,,formula,"GoC, 2008",,,,,,,,,,,0.8ug/L,"CCME, 2007",,,formula,"GoC, 2008",0.25mg/L,"GoC, 2008",0.7mg/L,"GoC, 2008",,,,
Sumas River at the International Boundary,BC08MH0027,6.5-9,"CCME, 2007",,,6mg/L,"EC, 2005",19C,"GoC, 2008",,,,,formula,"Meays and Nordin, 2013",,,,,formula,"CCME, 2014",28.6ug/L,SSG,formula,"GoC, 2008",,,formula,"GoC, 2008",,,,,formula,"GoC, 2008",,,,,,,,,formula,"GoC, 2008",0.25mg/L,"GoC, 2008",,,2.93mg/L,"CCME, 2007",,
Peace River above Alces River,BC07FD0005,6.5-9,"CCME, 2007",,,,,19C,"GoC, 2008",,,,,,,,,5ug/L,"CCME, 2001",formula,"CCME, 2014",,,formula,"GoC, 2008",,,formula,"GoC, 2008",,,, ,formula,"GoC, 2008",1ug/L,"BCMOE, 2014",,,,,,,formula,"GoC, 2008",0.25mg/L,"GoC, 2008",0.7mg/L,"GoC, 2008",,,,
